customer_email,customer_name,age,monthly_income_eur,tenure_months,discount_sensitivity,engagement_score,total_orders_12m,total_revenue_12m,arpu_12m,recency_days_last_purchase,impressions_90d,clicks_90d,conversions_90d,spend_90d,opened_emails_90d,clicked_emails_90d,churned,nps,country,gender,channel_preference,product_category_top
user_516@example.com,Customer Name 516,22,4665,77,0.1951234683734065,1.2368153256827852,50,1739.86,144.99,64,429,6,0,29.25,21,1,0,10,NL,male,social,bundle
user_544@example.com,Customer Name 544,18,2378,112,1.4679373534527111,-0.14522216966735813,12,285.23,23.77,58,1777,44,9,286.8,25,4,0,9,FR,female,sms,bundle
user_760@example.com,Customer Name 760,40,929,23,1.4393219639424355,-0.20320465982934155,22,610.22,50.85,16,196,8,0,255.46,8,3,0,10,DE,male,sms,bundle
user_803@example.com,Customer Name 803,67,4364,14,-1.3262821679306087,-0.5931440465678557,2,108.08,9.01,379,1808,232,1,718.8,24,9,0,7,NL,female,social,tv
user_20@example.com,Customer Name 20,41,6281,77,0.12954823900601603,1.6606423739584133,45,2772.34,231.03,5,1435,143,20,428.15,4,1,0,8,ES,female,social,mobile
user_1041@example.com,Customer Name 1041,45,4884,109,-0.27799865766691584,0.5529045114159525,47,973.65,81.14,85,231,9,0,32.38,3,1,0,10,ES,female,sms,mobile
user_569@example.com,Customer Name 569,50,7921,102,-1.1260247426813401,2.040379702736687,39,830.49,69.21,46,469,53,13,422.95,7,2,0,10,IT,male,push_app,internet
user_868@example.com,Customer Name 868,47,1504,14,0.7381697964189725,0.649688866327067,21,333.1,27.76,4,1093,125,1,534.87,12,3,0,8,ES,female,social,tv
user_611@example.com,Customer Name 611,65,1074,18,0.7999441367117531,0.060128420209667216,19,1460.3200000000002,121.69,59,518,6,0,108.46000000000001,19,3,0,1,ES,male,web_display,tv
user_961@example.com,Customer Name 961,26,841,33,0.7646281815673641,0.21114580979401731,5,196.43,16.37,121,923,107,6,68.68,0,0,0,2,NL,male,sms,tv
user_49@example.com,Customer Name 49,21,6119,40,-1.7025888992212408,1.1985547990478962,54,3458.67,288.22,31,1977,82,14,393.34,29,8,0,1,IT,male,sms,internet
user_203@example.com,Customer Name 203,44,2419,8,1.6611365215349556,0.49422130409426096,13,616.35,51.36,59,651,45,4,126.8,15,0,0,9,FR,female,push_app,bundle
user_398@example.com,Customer Name 398,42,5324,72,0.32852486143784565,0.10721661432237939,7,394.48,32.87,29,498,65,13,344.71000000000004,20,2,1,3,ES,female,sms,mobile
user_913@example.com,Customer Name 913,23,6950,54,0.2312467391373197,-2.5170265461625982,6,243.93,20.33,34,1412,96,24,178.8,6,0,0,6,FR,male,push_app,bundle
user_770@example.com,Customer Name 770,45,2128,88,1.5626759215064971,0.09802059016557085,13,577.8299999999999,48.15,25,1917,144,27,734.2,24,4,0,7,NL,female,web_display,internet
user_100@example.com,Customer Name 100,32,5664,62,-1.6974624786396497,3.1109947377188982,39,2364.87,197.07,23,1083,146,23,249.92000000000002,10,3,0,9,DE,female,social,tv
user_470@example.com,Customer Name 470,69,2053,70,1.034159707791851,0.3011070940398457,14,780.96,65.08,9,1653,95,16,653.33,7,1,0,9,ES,male,social,mobile
user_263@example.com,Customer Name 263,37,7246,63,-1.9635858205166052,1.0361152044918227,41,699.19,58.27,27,971,45,5,321.16,9,3,0,1,ES,female,social,tv
user_116@example.com,Customer Name 116,52,6720,96,-0.4843964461087388,1.3592406056898083,49,1453.7,121.14,33,1182,34,3,291.78,28,9,0,8,DE,male,web_display,mobile
user_814@example.com,Customer Name 814,43,1122,120,2.097698356089313,1.0308447566024161,18,683.53,56.96,37,1018,65,15,366.08,27,10,0,4,NL,female,push_app,tv
user_342@example.com,Customer Name 342,25,4743,47,-1.1182744432010656,1.6326421895227525,34,2695.06,224.59,119,1283,68,16,103.15,19,5,0,10,ES,female,web_display,tv
user_89@example.com,Customer Name 89,38,1502,27,2.1280299773485485,0.6672282511123462,16,779.5400000000001,64.96,14,1706,100,3,317.58000000000004,17,8,0,2,DE,male,social,internet
user_468@example.com,Customer Name 468,62,5225,91,0.9500577793216759,-2.992014110179391,3,159.07,13.26,419,1429,166,17,454.44,10,2,1,3,ES,female,social,internet
user_753@example.com,Customer Name 753,66,7393,62,-0.7219365417111094,2.8454852994342836,48,1981.06,165.09,27,1464,138,40,540.64,24,4,0,10,ES,female,sms,tv
user_195@example.com,Customer Name 195,44,6266,86,-1.7431118385017654,1.8830165306375897,48,2864.27,238.69,31,1399,131,12,696.62,6,0,0,8,IT,female,social,mobile
user_390@example.com,Customer Name 390,50,2156,75,1.8559464578101452,-0.17113870399342454,23,1306.47,108.87,14,400,34,6,328.79999999999995,3,0,0,8,NL,female,push_app,tv
user_473@example.com,Customer Name 473,52,951,21,1.4244159208114378,0.7968636461118148,22,694.5999999999999,57.88,40,1258,172,1,222.03,27,2,0,8,NL,female,social,mobile
user_101@example.com,Customer Name 101,62,2610,65,1.0446106447540362,-1.7742516732016131,6,221.69,18.47,4,1984,96,23,220.8,27,9,1,4,ES,male,push_app,mobile
user_222@example.com,Customer Name 222,19,1998,21,1.3025852241172602,0.7311296765159355,21,1294.84,107.9,10,1652,114,10,192.20999999999998,0,0,0,9,ES,male,social,internet
user_630@example.com,Customer Name 630,66,2258,33,0.5332766290744215,-1.574948463103704,3,122.22999999999999,10.19,10,1069,75,10,325.45000000000005,1,0,0,1,FR,male,push_app,bundle
user_919@example.com,Customer Name 919,28,1700,15,2.3628544034534054,-0.04576939262763624,23,484.15,40.35,33,763,66,12,250.95999999999998,15,5,0,7,NL,female,web_display,internet
user_543@example.com,Customer Name 543,49,5692,74,-2.152704825307645,2.946702834156103,52,3994.1899999999996,332.85,29,1648,130,10,758.12,15,3,0,9,FR,male,web_display,mobile
user_131@example.com,Customer Name 131,41,4022,13,-1.2499872200838986,1.7407034507488441,31,1432.83,119.4,146,927,101,0,157.04,1,0,0,8,IT,male,push_app,tv
user_506@example.com,Customer Name 506,20,1549,104,1.0126511719578666,0.8398449084311774,24,1033.6999999999998,86.14,29,257,30,4,183.06,27,2,0,7,NL,female,sms,bundle
user_318@example.com,Customer Name 318,55,4127,43,-0.13594320503206592,2.497173510178654,28,389.12,32.43,124,256,24,1,21.93,29,0,0,10,FR,female,sms,internet
user_272@example.com,Customer Name 272,69,5211,26,-0.11628013035130758,-0.085896678798974,46,1510.53,125.88,52,1204,44,13,159.31,18,3,0,7,ES,female,web_display,bundle
user_142@example.com,Customer Name 142,64,1634,56,1.0998740867925787,1.1977538885873338,26,1394.72,116.23,19,856,60,16,567.96,4,1,0,5,IT,male,push_app,internet
user_401@example.com,Customer Name 401,20,7158,61,-2.0400783972086023,2.2166737167355937,37,2338.96,194.91,45,597,76,13,265.15000000000003,4,0,0,9,NL,male,web_display,bundle
user_1080@example.com,Customer Name 1080,35,1665,113,1.2465673978586256,0.06864214879070185,20,1327.67,110.64,131,1708,185,25,693.69,6,2,0,1,ES,male,social,tv
user_585@example.com,Customer Name 585,43,2368,49,2.2132475240110083,0.4010771234526129,19,368.01,30.67,20,1251,185,10,691.39,29,9,0,6,FR,female,push_app,tv
user_84@example.com,Customer Name 84,32,2240,62,2.983658240176627,-0.6958616550240202,14,186.38,15.53,140,817,27,6,31.52,21,2,0,2,IT,female,sms,tv
user_246@example.com,Customer Name 246,34,2388,30,1.807942833008115,0.05624186770752976,22,1530.5900000000001,127.55,12,141,17,5,168.58999999999997,14,2,0,5,ES,female,push_app,bundle
user_105@example.com,Customer Name 105,26,4911,119,-1.239021759872496,2.757092633631574,40,2530.1600000000003,210.85,30,1678,119,3,524.69,18,1,0,10,IT,female,push_app,mobile
user_842@example.com,Customer Name 842,38,1023,68,1.6942335289343189,-0.5112127711459775,15,453.22,37.77,58,1551,157,45,385.54999999999995,23,3,0,10,ES,female,push_app,bundle
user_357@example.com,Customer Name 357,68,7302,107,-0.23517534780488647,1.1300689683051073,51,1294.1000000000001,107.84,16,293,28,3,150.57999999999998,23,5,0,7,NL,female,push_app,tv
user_1181@example.com,Customer Name 1181,64,1523,44,2.4042134876848467,-0.7359458736058239,14,594.86,49.57,103,288,20,2,38.74,20,6,0,1,IT,female,sms,bundle
user_1179@example.com,Customer Name 1179,51,7881,16,-1.2622052088756646,-1.205352348900019,7,225.82999999999998,18.82,20,1338,77,1,173.14999999999998,14,4,1,4,ES,male,web_display,mobile
user_1014@example.com,Customer Name 1014,55,5654,25,-1.633003433127938,0.8745183975349583,45,1365.06,113.76,3,830,98,0,182.23,10,3,0,5,NL,other,web_display,mobile
user_551@example.com,Customer Name 551,19,7766,87,-1.1266119365877407,2.49434360617702,27,1633.78,136.15,143,1461,137,13,559.59,16,7,0,10,ES,male,sms,bundle
user_14@example.com,Customer Name 14,53,4187,107,0.5274183096191933,1.685100485161187,40,753.03,62.75,2,611,86,1,246.82,10,2,0,8,ES,male,push_app,bundle
user_63@example.com,Customer Name 63,52,6214,29,0.30242545317837355,2.0922006010633294,27,965.8299999999999,80.49,15,850,56,1,326.57,25,9,0,10,IT,female,push_app,internet
user_15@example.com,Customer Name 15,57,1276,41,1.3274706117102475,0.4591550450067242,11,430.89,35.91,48,1977,211,62,996.85,24,5,0,1,ES,male,push_app,mobile
user_78@example.com,Customer Name 78,51,1288,5,1.6994108091451412,0.4257867737224925,18,925.96,77.16,42,1105,92,21,325.9,12,5,0,2,ES,female,web_display,bundle
user_970@example.com,Customer Name 970,43,7528,75,-0.6233610389091255,1.6347364584029425,49,1802.98,150.25,13,129,13,2,281.21,19,4,0,9,ES,male,web_display,internet
user_1195@example.com,Customer Name 1195,63,1588,42,1.3476641398860296,-0.021026330133455173,16,567.49,47.29,81,1725,208,54,582.5,1,0,0,4,FR,female,web_display,tv
user_776@example.com,Customer Name 776,67,982,104,1.056309355638436,0.20362238755507495,14,832.3299999999999,69.36,23,1465,94,18,613.95,15,5,0,8,IT,female,web_display,mobile
user_538@example.com,Customer Name 538,51,2975,46,-1.0678769006889137,-1.5756612157842722,10,392.4,32.7,10,456,34,1,364.27,9,0,0,6,IT,female,web_display,mobile
user_430@example.com,Customer Name 430,24,5038,47,-2.0088498821294887,2.0956144248428816,31,1574.89,131.24,9,1426,170,48,264.5,10,2,0,9,IT,female,push_app,tv
user_848@example.com,Customer Name 848,62,7966,67,-2.0402674686611357,1.7028538843359355,51,3169.9500000000003,264.16,31,503,35,10,311.21,1,0,0,9,ES,male,social,tv
user_882@example.com,Customer Name 882,55,1212,69,0.9641428944503708,-0.3211142835150107,13,439.12,36.59,34,1574,153,19,208.65,8,0,0,7,NL,female,push_app,mobile
user_595@example.com,Customer Name 595,21,4950,15,-1.0242507447079223,0.23501840800927143,9,416.81999999999994,34.73,5,515,20,0,302.89,27,12,0,10,IT,male,social,internet
user_90@example.com,Customer Name 90,33,6070,96,-0.2653500962139233,1.3255965023913752,64,2815.46,234.62,27,1811,109,6,474.96,3,1,0,10,NL,male,social,tv
user_936@example.com,Customer Name 936,46,1641,33,1.339954340862395,0.6593525120868026,14,642.6700000000001,53.56,51,481,46,12,192.85,25,11,0,5,NL,female,push_app,internet
user_683@example.com,Customer Name 683,30,2017,76,1.6110151993690143,0.21527357329435304,12,288.43,24.04,37,1790,166,28,529.86,4,1,0,4,ES,female,web_display,mobile
user_1043@example.com,Customer Name 1043,52,2130,27,0.5714462251618811,0.4942091418518867,11,386.25,32.19,27,494,54,4,175.88,26,6,0,10,ES,male,social,bundle
user_694@example.com,Customer Name 694,36,4302,121,-1.1295866393463054,2.908307714975062,59,3977.7000000000003,331.48,51,1607,214,56,1263.6499999999999,2,0,0,10,DE,female,sms,tv
user_22@example.com,Customer Name 22,47,866,34,-0.97251062651951,-2.3561129142417925,8,364.36,30.36,28,530,59,4,206.39,22,5,1,1,FR,male,sms,bundle
user_1123@example.com,Customer Name 1123,30,1193,96,-1.075353781514241,-0.8569935059766034,6,189.86,15.82,8,107,1,0,62.2,14,3,1,1,ES,female,sms,bundle
user_774@example.com,Customer Name 774,43,816,46,2.6852125842600914,0.8154150198305907,21,671.98,56.0,42,1343,27,4,208.79,15,6,0,10,FR,other,push_app,internet
user_624@example.com,Customer Name 624,40,1216,9,0.43225127254625406,0.1438743237709106,20,457.66999999999996,38.14,45,430,47,1,274.71,20,0,0,8,ES,female,social,bundle
user_132@example.com,Customer Name 132,54,2446,88,0.9983965593199433,-0.4246724222890386,19,765.03,63.75,124,1113,102,13,295.42,25,4,0,9,NL,female,social,internet
user_439@example.com,Customer Name 439,29,6902,3,1.352809336183567,-2.468245001319941,3,178.13,14.84,408,843,23,3,36.7,19,9,1,3,IT,female,sms,mobile
user_1016@example.com,Customer Name 1016,51,2136,92,2.3187400876473534,1.059254027500483,20,398.96000000000004,33.25,27,756,33,6,257.6,25,7,0,2,NL,female,web_display,bundle
user_966@example.com,Customer Name 966,47,6115,85,-0.5561056864887945,-0.3106172925260977,15,574.3100000000001,47.86,27,937,52,1,445.57,12,1,0,7,NL,female,web_display,bundle
user_102@example.com,Customer Name 102,18,4101,88,-1.1255078886258012,1.6445696469044404,36,1868.57,155.71,138,1204,58,17,223.91,5,0,0,10,FR,male,sms,tv
user_522@example.com,Customer Name 522,22,1149,87,1.5638521285331828,0.7307049685323368,28,919.47,76.62,24,1851,61,13,731.71,29,7,0,5,NL,male,push_app,tv
user_1164@example.com,Customer Name 1164,35,2293,53,0.3480488565797119,0.701396761866963,15,953.0,79.42,24,1705,33,0,264.69,23,3,0,10,ES,male,web_display,internet
user_1011@example.com,Customer Name 1011,33,6623,62,-1.1310397004127521,-2.20031282937886,6,176.51999999999998,14.71,30,1779,21,2,116.66,2,0,0,3,ES,female,web_display,bundle
user_583@example.com,Customer Name 583,40,7662,121,-1.0388436970749233,2.7149503584173935,30,1280.9,106.74,34,523,37,6,69.97,4,0,0,8,IT,male,sms,internet
user_872@example.com,Customer Name 872,64,6690,40,-0.4296970590636351,1.9988859694716332,48,777.08,64.76,8,203,16,1,265.79,1,0,0,9,NL,female,web_display,internet
user_1048@example.com,Customer Name 1048,19,1114,4,1.2015196734419757,1.4151890418440538,21,1374.5800000000002,114.55,9,1032,24,5,225.75,25,7,0,8,IT,female,web_display,tv
user_600@example.com,Customer Name 600,53,1279,70,1.6692464992228764,1.0063242178348049,21,718.4200000000001,59.87,10,1644,225,14,549.39,17,5,0,3,ES,female,social,mobile
user_12@example.com,Customer Name 12,28,1575,101,2.454702501518467,0.005334220657955108,11,547.36,45.61,1,1629,208,22,651.76,18,8,0,2,FR,male,social,tv
user_46@example.com,Customer Name 46,26,5733,5,-0.23047195895128958,1.8888244419067568,43,2207.1699999999996,183.93,55,243,33,0,194.77,24,10,0,10,IT,female,push_app,bundle
user_314@example.com,Customer Name 314,28,4519,39,-0.6389327706767125,2.337081030064916,58,1423.8100000000002,118.65,3,158,23,2,424.79,28,3,0,9,ES,male,sms,tv
user_304@example.com,Customer Name 304,52,4333,102,-1.4434877170674805,-0.05126521576139609,12,490.54999999999995,40.88,9,1132,110,32,452.05,19,1,0,10,FR,male,sms,internet
user_743@example.com,Customer Name 743,38,1613,5,0.6876168639701922,-0.4861814166167584,12,729.73,60.81,28,112,16,1,530.13,9,0,1,2,NL,female,push_app,mobile
user_764@example.com,Customer Name 764,49,4560,52,-1.6087595974019273,-2.2871363552223642,8,330.37,27.53,17,1807,42,5,226.92000000000002,17,7,1,3,IT,other,sms,internet
user_421@example.com,Customer Name 421,56,4973,58,-1.6521727275476408,0.8517557772598624,47,1197.04,99.75,23,1345,166,5,761.54,7,0,0,8,IT,male,social,mobile
user_748@example.com,Customer Name 748,36,5213,43,-0.8105163320320445,-1.538711936381513,6,378.34000000000003,31.53,44,1090,129,22,777.46,29,12,0,8,FR,male,sms,internet
user_446@example.com,Customer Name 446,49,5315,113,-0.6720184036803544,0.8147195614470495,36,1641.7,136.81,2,963,60,14,151.31,12,1,0,10,IT,female,social,tv
user_296@example.com,Customer Name 296,18,3977,20,-0.31343940727687924,-1.0397238414212482,6,317.42,26.45,3,1968,291,26,739.97,29,9,1,3,IT,male,social,bundle
user_237@example.com,Customer Name 237,36,6554,20,1.2747619688349956,-1.4248733272708485,4,269.13,22.43,345,399,18,1,23.31,0,0,1,3,DE,male,web_display,mobile
user_121@example.com,Customer Name 121,58,5244,97,-0.6522539455356371,1.664509178045761,49,2395.87,199.66,1,1588,185,21,986.45,26,3,0,6,IT,male,social,tv
user_1073@example.com,Customer Name 1073,28,1443,24,0.5936458585714899,-1.1464516686189097,5,393.54,32.8,388,1751,22,0,105.85,28,8,1,3,DE,female,web_display,bundle
user_321@example.com,Customer Name 321,52,2654,62,0.30559927796235503,-1.9634658666525981,10,353.15,29.43,10,1696,213,5,1002.88,15,3,0,6,FR,female,sms,bundle
user_1152@example.com,Customer Name 1152,58,7620,19,-1.8030203445126496,1.2338161852074883,61,1747.11,145.59,19,1319,38,11,109.75999999999999,5,0,0,8,IT,female,web_display,mobile
user_1094@example.com,Customer Name 1094,43,5796,13,-0.8083900311872735,0.1526468927089697,53,2666.63,222.22,51,612,18,3,50.12,25,8,0,3,ES,female,push_app,tv
user_388@example.com,Customer Name 388,48,7712,80,-0.6320830186576287,0.5029228479708353,40,885.47,73.79,49,1292,105,19,642.12,16,5,0,9,IT,female,push_app,mobile
user_1022@example.com,Customer Name 1022,21,3056,76,0.7356493314122428,-1.0596973497691748,7,220.55,18.38,22,747,58,8,398.15999999999997,0,0,0,7,FR,female,web_display,internet
user_539@example.com,Customer Name 539,69,4724,104,1.2423242547536868,-0.5431976603597228,8,302.29,25.19,56,1056,147,36,472.13,28,8,0,10,FR,female,web_display,internet
user_26@example.com,Customer Name 26,50,2325,86,1.1708409375123625,1.0338343962373777,18,503.37,41.95,31,1139,118,2,542.02,5,0,0,6,ES,male,web_display,bundle
user_289@example.com,Customer Name 289,24,1997,117,2.2702628600958614,0.9204367307224955,18,687.58,57.3,37,787,53,15,193.04000000000002,0,0,0,8,DE,female,push_app,bundle
user_576@example.com,Customer Name 576,29,4576,116,0.49079704941255375,-1.3072788357588374,8,406.82,33.9,19,470,34,2,357.65999999999997,26,3,1,2,DE,male,push_app,internet
user_740@example.com,Customer Name 740,64,1009,103,2.415836279605038,0.1637556985777969,14,517.89,43.16,59,1475,157,41,826.34,12,3,0,8,ES,female,push_app,tv
user_716@example.com,Customer Name 716,56,838,87,-1.099438312560121,-1.8764196498179821,13,446.65,37.22,2,942,118,33,536.76,8,1,1,3,IT,female,sms,bundle
user_140@example.com,Customer Name 140,52,7657,81,-1.8965224055958516,1.1832524084351412,66,2333.38,194.45,27,714,73,2,363.95000000000005,8,3,0,4,ES,female,social,tv
user_615@example.com,Customer Name 615,56,4770,20,-1.7049824370643067,1.332857363077618,64,4922.09,410.17,57,1454,59,6,461.51,10,4,0,5,NL,female,web_display,mobile
user_1020@example.com,Customer Name 1020,24,4499,97,-0.08750438127893528,1.9405271148988676,59,3685.73,307.14,15,717,71,8,287.09000000000003,25,9,0,8,FR,female,sms,internet
user_4@example.com,Customer Name 4,32,4383,89,-0.5144206779651317,0.3855524136628091,39,725.9399999999999,60.5,44,266,33,5,138.85,23,1,0,10,NL,male,web_display,tv
user_507@example.com,Customer Name 507,29,6199,21,-0.553211459702877,-0.9327717485598402,3,142.41,11.87,17,1733,103,10,513.59,28,7,0,5,FR,male,sms,bundle
user_663@example.com,Customer Name 663,59,4934,44,-1.0236683525876549,1.757092506075574,49,1083.69,90.31,14,1105,112,18,259.24,16,6,0,10,ES,male,web_display,tv
user_266@example.com,Customer Name 266,43,5882,39,-0.16323307990170322,2.266632760970778,45,1111.94,92.66,25,1996,252,51,1289.74,2,0,0,8,ES,female,web_display,mobile
user_1071@example.com,Customer Name 1071,32,4043,15,0.05137112146432887,1.854066126177942,52,1301.58,108.46,126,1028,69,16,139.97,29,9,0,10,IT,male,web_display,bundle
user_742@example.com,Customer Name 742,33,4356,38,-1.9331768169699968,2.9751823266976785,55,4003.5900000000006,333.63,4,1901,36,9,115.16,11,2,0,10,ES,male,web_display,internet
user_268@example.com,Customer Name 268,36,5809,94,-1.49132953053633,3.49421096216503,51,2897.5899999999997,241.47,29,291,6,0,185.87,17,4,0,9,FR,female,web_display,tv
user_667@example.com,Customer Name 667,22,7029,51,-1.914904596152338,1.6233530257336315,57,913.53,76.13,9,433,21,1,333.19,29,4,0,9,IT,female,push_app,internet
user_806@example.com,Customer Name 806,50,2316,5,2.222381944264257,-0.6734489503869865,10,463.05,38.59,79,1668,144,2,570.46,17,0,0,8,ES,female,social,internet
user_286@example.com,Customer Name 286,47,3530,8,-0.5209234826698939,0.02382804378524228,9,188.91000000000003,15.74,59,1327,103,3,232.60000000000002,21,7,1,4,FR,male,social,tv
user_918@example.com,Customer Name 918,65,1581,27,0.729550962046634,-0.14498445254974002,17,1209.3300000000002,100.78,6,1136,41,10,148.25,4,1,0,1,NL,male,web_display,bundle
user_639@example.com,Customer Name 639,29,7760,38,1.64013822394908,-1.7116795562310736,5,136.96,11.41,373,1399,107,15,333.44,29,13,1,3,NL,male,push_app,bundle
user_767@example.com,Customer Name 767,55,1965,46,1.07858884557687,-0.6668244804031375,8,438.52,36.54,13,1418,187,20,481.53,6,1,1,1,ES,female,web_display,bundle
user_719@example.com,Customer Name 719,30,4387,44,0.4133106802455403,-1.1776614412034183,9,238.78,19.9,44,1742,121,24,369.61,14,3,1,1,IT,female,sms,mobile
user_609@example.com,Customer Name 609,66,1415,37,2.188628984293438,0.8916489838065844,15,601.27,50.11,43,917,15,4,273.36,17,4,0,6,FR,male,sms,tv
user_958@example.com,Customer Name 958,43,4702,4,-1.6857963807484904,-1.686125940805846,8,307.47,25.62,20,829,63,6,306.64,27,0,1,4,IT,other,social,bundle
user_1078@example.com,Customer Name 1078,52,6762,116,-1.7307622926542496,2.7779459779526254,62,4041.4700000000003,336.79,15,1216,54,14,376.56,8,0,0,9,FR,female,web_display,bundle
user_158@example.com,Customer Name 158,49,4213,35,-1.961843878258617,1.3564959000803825,52,3005.71,250.48,49,1834,172,21,530.12,14,5,0,6,IT,female,social,tv
user_1001@example.com,Customer Name 1001,40,4294,51,-0.9893160310506062,1.2867876334067758,58,987.28,82.27,31,1070,55,9,262.97,20,0,0,10,NL,male,push_app,tv
user_711@example.com,Customer Name 711,56,7033,27,-1.0843856516887285,2.6106149532135445,47,1726.6100000000001,143.88,27,589,57,11,251.01999999999998,1,0,0,9,FR,male,web_display,internet
user_786@example.com,Customer Name 786,37,1933,60,1.7546520713364244,0.9877479992827771,18,787.29,65.61,21,611,85,6,254.65,26,12,0,2,NL,male,push_app,tv
user_287@example.com,Customer Name 287,59,7238,41,-0.6180260936577591,0.13162436749281425,51,3592.17,299.35,25,710,89,0,423.41999999999996,9,3,0,3,ES,male,push_app,mobile
user_709@example.com,Customer Name 709,36,7748,79,-1.5250332344388962,-0.31560634125096554,6,276.85,23.07,17,1727,22,1,218.43,12,0,1,2,ES,female,sms,internet
user_394@example.com,Customer Name 394,40,1541,31,0.6110249641813097,0.34940333855690564,13,548.81,45.73,25,1910,236,20,1303.4,24,9,0,10,IT,female,social,mobile
user_897@example.com,Customer Name 897,32,4363,22,-1.5210327765651699,1.800673804972706,52,940.14,78.34,47,1242,101,17,605.34,10,0,0,9,IT,female,social,internet
user_572@example.com,Customer Name 572,60,6440,50,-0.6267166362826482,1.035744486256901,30,1208.46,100.71,62,1229,134,8,272.16,6,1,0,8,FR,female,web_display,mobile
user_214@example.com,Customer Name 214,41,2492,120,0.8318455784414494,-0.3928852447162788,9,247.5,20.62,163,1493,181,20,104.81,24,5,0,1,IT,female,sms,internet
user_579@example.com,Customer Name 579,19,5871,111,-0.733804522924288,2.297078000161843,34,1659.7299999999998,138.31,12,1591,159,28,878.97,4,1,0,8,FR,male,sms,bundle
